url,path,status,finalUrl,redirectCount,indexable,indexabilityReasons,canonicalOk,title,titleLength,description,descriptionLength,robotsMeta,xRobotsTag,canonical,alternateCount,ogTitle,ogDescription,ogImage,ogUrl,twitterTitle,twitterDescription,twitterImage,jsonLdCount,jsonLdTypes,h1Count,h1Text,h2Count,internalLinkCount,topInternalLinkTargets,missingTitle,missingDescription,missingCanonical,missingOgTitle,missingOgDescription,missingOgImage,missingTwitterTitle,duplicateTitle,duplicateDescription,fetchError,fetchFailureCategory,retryCount,responseLocation,responseCacheControl
http://127.0.0.1:5000/ask-heaven/scotland-eviction-court-process-tribunal,/ask-heaven/scotland-eviction-court-process-tribunal,0,http://127.0.0.1:5000/ask-heaven/scotland-eviction-court-process-tribunal,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/scotland-prt-notice-periods-2025,/ask-heaven/scotland-prt-notice-periods-2025,0,http://127.0.0.1:5000/ask-heaven/scotland-prt-notice-periods-2025,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/scotland-prt-vs-short-assured,/ask-heaven/scotland-prt-vs-short-assured,0,http://127.0.0.1:5000/ask-heaven/scotland-prt-vs-short-assured,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/scotland-rent-arrears-prt-steps,/ask-heaven/scotland-rent-arrears-prt-steps,0,http://127.0.0.1:5000/ask-heaven/scotland-rent-arrears-prt-steps,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/scotland-serving-notice-to-leave,/ask-heaven/scotland-serving-notice-to-leave,0,http://127.0.0.1:5000/ask-heaven/scotland-serving-notice-to-leave,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/scotland-tenant-abandonment-prt,/ask-heaven/scotland-tenant-abandonment-prt,0,http://127.0.0.1:5000/ask-heaven/scotland-tenant-abandonment-prt,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/section-173-notice-wales-when-to-use,/ask-heaven/section-173-notice-wales-when-to-use,0,http://127.0.0.1:5000/ask-heaven/section-173-notice-wales-when-to-use,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/section-173-validity-checklist-wales,/ask-heaven/section-173-validity-checklist-wales,0,http://127.0.0.1:5000/ask-heaven/section-173-validity-checklist-wales,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/section-21-accelerated-possession-n5b-guide,/ask-heaven/section-21-accelerated-possession-n5b-guide,0,http://127.0.0.1:5000/ask-heaven/section-21-accelerated-possession-n5b-guide,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/section-21-after-fixed-term-periodic,/ask-heaven/section-21-after-fixed-term-periodic,0,http://127.0.0.1:5000/ask-heaven/section-21-after-fixed-term-periodic,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/section-21-and-deposit-protection-rules,/ask-heaven/section-21-and-deposit-protection-rules,0,http://127.0.0.1:5000/ask-heaven/section-21-and-deposit-protection-rules,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/section-21-gas-safety-epc-how-to-fix,/ask-heaven/section-21-gas-safety-epc-how-to-fix,0,http://127.0.0.1:5000/ask-heaven/section-21-gas-safety-epc-how-to-fix,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/section-21-reissue-after-expiry,/ask-heaven/section-21-reissue-after-expiry,0,http://127.0.0.1:5000/ask-heaven/section-21-reissue-after-expiry,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/section-21-validity-checklist-form-6a,/ask-heaven/section-21-validity-checklist-form-6a,0,http://127.0.0.1:5000/ask-heaven/section-21-validity-checklist-form-6a,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
