route,viewport,width,capture,file,result
/tools/hmo-license-checker,tablet,768,first-viewport,screenshots/tools-hmo-license-checker-tablet-first.png,PASS
/tools/hmo-license-checker,desktop,1440,full-page,screenshots/tools-hmo-license-checker-desktop-full.png,PASS
/tools/hmo-license-checker,desktop,1440,first-viewport,screenshots/tools-hmo-license-checker-desktop-first.png,PASS
/tools/rent-arrears-calculator,mobile,390,full-page,screenshots/tools-rent-arrears-calculator-mobile-full.png,PASS
/tools/rent-arrears-calculator,mobile,390,first-viewport,screenshots/tools-rent-arrears-calculator-mobile-first.png,PASS
/tools/rent-arrears-calculator,tablet,768,full-page,screenshots/tools-rent-arrears-calculator-tablet-full.png,PASS
/tools/rent-arrears-calculator,tablet,768,first-viewport,screenshots/tools-rent-arrears-calculator-tablet-first.png,PASS
/tools/rent-arrears-calculator,desktop,1440,full-page,screenshots/tools-rent-arrears-calculator-desktop-full.png,PASS
/tools/rent-arrears-calculator,desktop,1440,first-viewport,screenshots/tools-rent-arrears-calculator-desktop-first.png,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,mobile,390,full-page,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-mobile-full.png,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,mobile,390,first-viewport,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-mobile-first.png,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,tablet,768,full-page,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-tablet-full.png,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,tablet,768,first-viewport,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-tablet-first.png,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,desktop,1440,full-page,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-desktop-full.png,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,desktop,1440,first-viewport,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-desktop-first.png,PASS
/blog/bailiff-eviction-day-what-to-expect,mobile,390,full-page,screenshots/blog-bailiff-eviction-day-what-to-expect-mobile-full.png,PASS
/blog/bailiff-eviction-day-what-to-expect,mobile,390,first-viewport,screenshots/blog-bailiff-eviction-day-what-to-expect-mobile-first.png,PASS
/blog/bailiff-eviction-day-what-to-expect,tablet,768,full-page,screenshots/blog-bailiff-eviction-day-what-to-expect-tablet-full.png,PASS
/blog/bailiff-eviction-day-what-to-expect,tablet,768,first-viewport,screenshots/blog-bailiff-eviction-day-what-to-expect-tablet-first.png,PASS
/blog/bailiff-eviction-day-what-to-expect,desktop,1440,full-page,screenshots/blog-bailiff-eviction-day-what-to-expect-desktop-full.png,PASS
/blog/bailiff-eviction-day-what-to-expect,desktop,1440,first-viewport,screenshots/blog-bailiff-eviction-day-what-to-expect-desktop-first.png,PASS
/eviction-cost-uk,mobile,390,full-page,screenshots/eviction-cost-uk-mobile-full.png,PASS
/eviction-cost-uk,mobile,390,first-viewport,screenshots/eviction-cost-uk-mobile-first.png,PASS
/eviction-cost-uk,tablet,768,full-page,screenshots/eviction-cost-uk-tablet-full.png,PASS
/eviction-cost-uk,tablet,768,first-viewport,screenshots/eviction-cost-uk-tablet-first.png,PASS
